죄종별,항목,2018 년,2019 년,2020 년,2021 년,2022 년
특가법(절도),여자검거인원[명],39,54,47,43,50
특가법(절도),불상검거인원[명],3,1,3,-,-
특가법(절도),법인체[개],-,-,-,-,-
특가법(단체등의조직),발생건수[건],-,-,-,-,-
특가법(단체등의조직),검거건수[건],-,-,-,-,-
특가법(단체등의조직),발생건수 대비 검거건수[%],-,-,-,-,-
특가법(단체등의조직),검거인원[명],-,-,-,-,-
특가법(단체등의조직),남자검거인원[명],-,-,-,-,-
특가법(단체등의조직),여자검거인원[명],-,-,-,-,-
특가법(단체등의조직),불상검거인원[명],-,-,-,-,-
특가법(단체등의조직),법인체[개],-,-,-,-,-
폭력범죄,발생건수[건],287611,287913,265768,232661,245286
폭력범죄,검거건수[건],251586,252877,230773,200808,209789
폭력범죄,발생건수 대비 검거건수[%],87.5,87.8,86.8,86.3,85.5
폭력범죄,검거인원[명],357264,354679,323392,269443,280476
폭력범죄,남자검거인원[명],291787,286513,260834,217260,225970
폭력범죄,여자검거인원[명],59445,62294,55917,48866,51019
폭력범죄,불상검거인원[명],6032,5872,6641,3317,3487
폭력범죄,법인체[개],30,17,31,13,16
상해,발생건수[건],39766,36858,32904,28453,26806
상해,검거건수[건],38737,35995,32042,27657,26027
상해,발생건수 대비 검거건수[%],97.4,97.7,97.4,97.2,97.1
상해,검거인원[명],53584,49496,44126,36006,33668
상해,남자검거인원[명],44811,41019,36475,29918,28246
상해,여자검거인원[명],8522,8250,7450,5979,5306
상해,불상검거인원[명],251,227,201,109,116
상해,법인체[개],2,1,1,-,-
상해,발생건수[건],39153,36245,32299,27826,26231
상해,검거건수[건],38138,35393,31455,27064,25479
상해,발생건수 대비 검거건수[%],97.4,97.6,97.4,97.3,97.1
상해,검거인원[명],52860,48782,43438,35337,33025
상해,남자검거인원[명],44217,40448,35933,29379,27734
상해,여자검거인원[명],8394,8108,7305,5849,5179
상해,불상검거인원[명],249,226,200,109,112
상해,법인체[개],1,-,1,-,-
상해(중),발생건수[건],58,57,56,43,42
상해(중),검거건수[건],57,56,53,38,41
상해(중),발생건수 대비 검거건수[%],98.3,98.2,94.6,88.4,97.6
상해(중),검거인원[명],77,70,76,44,51
상해(중),남자검거인원[명],76,60,68,40,48
상해(중),여자검거인원[명],1,9,7,4,3
상해(중),불상검거인원[명],-,1,1,-,-
상해(중),법인체[개],1,1,-,-,-
상해(상습),발생건수[건],28,27,21,17,13
상해(상습),검거건수[건],28,25,20,16,14
상해(상습),발생건수 대비 검거건수[%],100,92.6,95.2,94.1,107.7
상해(상습),검거인원[명],24,26,21,22,18
상해(상습),남자검거인원[명],22,26,20,17,17
상해(상습),여자검거인원[명],2,-,1,5,1
상해(상습),불상검거인원[명],-,-,-,-,-
상해(상습),법인체[개],-,-,-,-,-
상해(상습중),발생건수[건],-,-,1,-,-
상해(상습중),검거건수[건],-,-,1,-,-
상해(상습중),발생건수 대비 검거건수[%],-,-,100,-,-
상해(상습중),검거인원[명],-,-,1,-,-
상해(상습중),남자검거인원[명],-,-,1,-,-
상해(상습중),여자검거인원[명],-,-,-,-,-
상해(상습중),불상검거인원[명],-,-,-,-,-
상해(상습중),법인체[개],-,-,-,-,-
상해치사,발생건수[건],54,49,43,35,37
상해치사,검거건수[건],54,50,43,33,34
상해치사,발생건수 대비 검거건수[%],100,102,100,94.3,91.9
상해치사,검거인원[명],74,58,56,38,46
상해치사,남자검거인원[명],66,50,48,35,39
상해치사,여자검거인원[명],7,8,8,3,6
상해치사,불상검거인원[명],1,-,-,-,1
상해치사,법인체[개],-,-,-,-,-
존속상해,발생건수[건],331,346,315,341,267
존속상해,검거건수[건],328,344,312,335,263
존속상해,발생건수 대비 검거건수[%],99.1,99.4,99,98.2,98.5
존속상해,검거인원[명],403,408,352,371,312
존속상해,남자검거인원[명],315,313,268,292,240
존속상해,여자검거인원[명],88,95,84,79,71
존속상해,불상검거인원[명],-,-,-,-,1
존속상해,법인체[개],-,-,-,-,-
존속상해(중),발생건수[건],1,1,4,1,-
존속상해(중),검거건수[건],1,1,4,1,-
존속상해(중),발생건수 대비 검거건수[%],100,100,100,100,-
존속상해(중),검거인원[명],1,1,4,1,-
존속상해(중),남자검거인원[명],1,1,4,1,-
존속상해(중),여자검거인원[명],-,-,-,-,-
존속상해(중),불상검거인원[명],-,-,-,-,-
존속상해(중),법인체[개],-,-,-,-,-
존속상해(상습),발생건수[건],5,3,4,2,7
존속상해(상습),검거건수[건],5,3,4,2,7
존속상해(상습),발생건수 대비 검거건수[%],100,100,100,100,100
존속상해(상습),검거인원[명],5,3,4,2,7
존속상해(상습),남자검거인원[명],4,3,3,2,7
존속상해(상습),여자검거인원[명],1,-,1,-,-
존속상해(상습),불상검거인원[명],-,-,-,-,-
존속상해(상습),법인체[개],-,-,-,-,-
존속상해(상습중),발생건수[건],-,-,-,-,-
존속상해(상습중),검거건수[건],-,-,-,-,-
존속상해(상습중),발생건수 대비 검거건수[%],-,-,-,-,-
존속상해(상습중),검거인원[명],-,-,-,-,-
존속상해(상습중),남자검거인원[명],-,-,-,-,-
존속상해(상습중),여자검거인원[명],-,-,-,-,-
존속상해(상습중),불상검거인원[명],-,-,-,-,-
존속상해(상습중),법인체[개],-,-,-,-,-
존속상해치사,발생건수[건],4,10,6,3,7
존속상해치사,검거건수[건],4,10,6,3,7
존속상해치사,발생건수 대비 검거건수[%],100,100,100,100,100
존속상해치사,검거인원[명],4,10,8,3,7
존속상해치사,남자검거인원[명],4,7,4,3,6
존속상해치사,여자검거인원[명],-,3,4,-,1
존속상해치사,불상검거인원[명],-,-,-,-,-
존속상해치사,법인체[개],-,-,-,-,-
특가법(보복상해등),발생건수[건],30,31,32,34,38
특가법(보복상해등),검거건수[건],30,32,30,34,36
특가법(보복상해등),발생건수 대비 검거건수[%],100,103.2,93.8,100,94.7
특가법(보복상해등),검거인원[명],30,43,35,44,37
특가법(보복상해등),남자검거인원[명],26,38,29,31,33
특가법(보복상해등),여자검거인원[명],4,5,6,13,4
특가법(보복상해등),불상검거인원[명],-,-,-,-,-
특가법(보복상해등),법인체[개],-,-,-,-,-
아동학대처벌법위반(상습상해),발생건수[건],3,3,2,1,2
아동학대처벌법위반(상습상해),검거건수[건],3,3,2,1,1
아동학대처벌법위반(상습상해),발생건수 대비 검거건수[%],100,100,100,100,50
아동학대처벌법위반(상습상해),검거인원[명],3,6,3,1,2
아동학대처벌법위반(상습상해),남자검거인원[명],2,4,1,1,1
아동학대처벌법위반(상습상해),여자검거인원[명],1,2,2,-,1
아동학대처벌법위반(상습상해),불상검거인원[명],-,-,-,-,-
아동학대처벌법위반(상습상해),법인체[개],-,-,-,-,-
특수상해,발생건수[건],46,35,48,62,69
특수상해,검거건수[건],36,28,40,43,53
특수상해,발생건수 대비 검거건수[%],78.3,80,83.3,69.4,76.8
특수상해,검거인원[명],49,35,47,52,62
특수상해,남자검거인원[명],35,25,35,43,49
특수상해,여자검거인원[명],13,10,12,9,11
특수상해,불상검거인원[명],1,-,-,-,2
특수상해,법인체[개],-,-,-,-,-
특수상해(중),발생건수[건],5,3,3,5,5
특수상해(중),검거건수[건],5,3,3,5,5
특수상해(중),발생건수 대비 검거건수[%],100,100,100,100,100
특수상해(중),검거인원[명],4,6,3,4,6
특수상해(중),남자검거인원[명],4,6,2,4,4
특수상해(중),여자검거인원[명],-,-,1,-,2
특수상해(중),불상검거인원[명],-,-,-,-,-
특수상해(중),법인체[개],-,-,-,-,-
특수상해(상습),발생건수[건],3,2,7,6,2
특수상해(상습),검거건수[건],3,2,7,6,2
특수상해(상습),발생건수 대비 검거건수[%],100,100,100,100,100
특수상해(상습),검거인원[명],3,2,12,6,4
특수상해(상습),남자검거인원[명],1,1,11,4,4
특수상해(상습),여자검거인원[명],2,1,1,2,-
특수상해(상습),불상검거인원[명],-,-,-,-,-
특수상해(상습),법인체[개],-,-,-,-,-
존속상해(특수·특수중),발생건수[건],45,46,63,77,86
존속상해(특수·특수중),검거건수[건],45,45,62,76,85
존속상해(특수·특수중),발생건수 대비 검거건수[%],100,97.8,98.4,98.7,98.8
존속상해(특수·특수중),검거인원[명],47,46,66,81,91
존속상해(특수·특수중),남자검거인원[명],38,37,48,66,64
존속상해(특수·특수중),여자검거인원[명],9,9,18,15,27
존속상해(특수·특수중),불상검거인원[명],-,-,-,-,-
존속상해(특수·특수중),법인체[개],-,-,-,-,-
폭행,발생건수[건],159267,157197,139361,115942,125217
폭행,검거건수[건],151384,149461,132352,110292,118817
폭행,발생건수 대비 검거건수[%],95.1,95.1,95,95.1,94.9
폭행,검거인원[명],207237,204985,180804,146962,157867
폭행,남자검거인원[명],169712,165610,146285,117598,126103
폭행,여자검거인원[명],35925,37901,33183,28737,31054
폭행,불상검거인원[명],1600,1474,1336,627,710
폭행,법인체[개],2,-,-,-,1
폭행,발생건수[건],145524,143008,125345,100137,108292
폭행,검거건수[건],138013,135649,118790,94934,102373
폭행,발생건수 대비 검거건수[%],94.8,94.9,94.8,94.8,94.5
폭행,검거인원[명],190836,187768,163807,128450,138141
폭행,남자검거인원[명],155760,151101,132076,102185,109683
폭행,여자검거인원[명],33571,35273,30505,25702,27788
폭행,불상검거인원[명],1505,1394,1226,563,670
폭행,법인체[개],2,-,-,-,-
폭행(상습),발생건수[건],171,88,98,89,92
폭행(상습),검거건수[건],167,74,96,87,90
폭행(상습),발생건수 대비 검거건수[%],97.7,84.1,98,97.8,97.8
폭행(상습),검거인원[명],92,86,109,73,99
폭행(상습),남자검거인원[명],84,81,96,66,82
폭행(상습),여자검거인원[명],8,5,13,7,17
폭행(상습),불상검거인원[명],-,-,-,-,-
폭행(상습),법인체[개],-,-,-,-,-
폭행치상,발생건수[건],1491,1518,1458,1457,1489
폭행치상,검거건수[건],1456,1485,1413,1433,1454
폭행치상,발생건수 대비 검거건수[%],97.7,97.8,96.9,98.4,97.6
폭행치상,검거인원[명],1992,2032,1955,1860,1851
폭행치상,남자검거인원[명],1649,1652,1588,1502,1568
폭행치상,여자검거인원[명],336,365,355,350,280
폭행치상,불상검거인원[명],7,15,12,8,3
폭행치상,법인체[개],-,-,-,-,-
폭행치사,발생건수[건],52,44,51,35,31
폭행치사,검거건수[건],52,44,48,35,30
폭행치사,발생건수 대비 검거건수[%],100,100,94.1,100,96.8
폭행치사,검거인원[명],65,49,58,52,36
폭행치사,남자검거인원[명],56,43,49,42,29
폭행치사,여자검거인원[명],9,6,8,10,7
폭행치사,불상검거인원[명],-,-,1,-,-
폭행치사,법인체[개],-,-,-,-,-
특수폭행,발생건수[건],7472,8037,7434,7542,8741
특수폭행,검거건수[건],7213,7796,7133,7251,8432
특수폭행,발생건수 대비 검거건수[%],96.5,97,96,96.1,96.5
특수폭행,검거인원[명],9539,10087,9399,9180,10609
특수폭행,남자검거인원[명],8023,8432,7765,7483,8560
특수폭행,여자검거인원[명],1430,1594,1546,1644,2016
특수폭행,불상검거인원[명],86,61,88,53,33
특수폭행,법인체[개],-,-,-,-,1
특수폭행(상습),발생건수[건],304,36,4,4,19
특수폭행(상습),검거건수[건],304,36,4,1,19
특수폭행(상습),발생건수 대비 검거건수[%],100,100,100,25,100
특수폭행(상습),검거인원[명],6,9,3,2,8
특수폭행(상습),남자검거인원[명],6,8,3,2,6
특수폭행(상습),여자검거인원[명],-,1,-,-,2
특수폭행(상습),불상검거인원[명],-,-,-,-,-
특수폭행(상습),법인체[개],-,-,-,-,-
특수폭행치상,발생건수[건],92,66,94,91,105
특수폭행치상,검거건수[건],92,61,86,88,102
특수폭행치상,발생건수 대비 검거건수[%],100,92.4,91.5,96.7,97.1
특수폭행치상,검거인원[명],99,83,152,135,138
특수폭행치상,남자검거인원[명],81,68,117,120,109
특수폭행치상,여자검거인원[명],18,14,31,15,27
특수폭행치상,불상검거인원[명],-,1,4,-,2
특수폭행치상,법인체[개],-,-,-,-,-
특수폭행치사,발생건수[건],2,1,-,3,-
특수폭행치사,검거건수[건],1,2,-,3,-
특수폭행치사,발생건수 대비 검거건수[%],50,200,-,100,-
특수폭행치사,검거인원[명],1,3,-,9,-
특수폭행치사,남자검거인원[명],1,2,-,7,-
특수폭행치사,여자검거인원[명],-,1,-,2,-
특수폭행치사,불상검거인원[명],-,-,-,-,-
특수폭행치사,법인체[개],-,-,-,-,-
존속폭행,발생건수[건],1540,1602,1765,2026,1792
존속폭행,검거건수[건],1505,1555,1703,1988,1740
존속폭행,발생건수 대비 검거건수[%],97.7,97.1,96.5,98.1,97.1
존속폭행,검거인원[명],1845,1952,2060,2409,2155
존속폭행,남자검거인원[명],1495,1534,1597,1803,1597
존속폭행,여자검거인원[명],348,417,462,606,558
존속폭행,불상검거인원[명],2,1,1,-,-
존속폭행,법인체[개],-,-,-,-,-
존속폭행(특수),발생건수[건],42,28,50,87,80
존속폭행(특수),검거건수[건],42,28,48,88,78
존속폭행(특수),발생건수 대비 검거건수[%],100,100,96,101.1,97.5
존속폭행(특수),검거인원[명],53,30,57,94,91
존속폭행(특수),남자검거인원[명],45,23,44,71,70
존속폭행(특수),여자검거인원[명],8,7,13,23,21
존속폭행(특수),불상검거인원[명],-,-,-,-,-
존속폭행(특수),법인체[개],-,-,-,-,-
존속폭행(상습),발생건수[건],6,11,13,10,18
존속폭행(상습),검거건수[건],6,11,13,10,18
존속폭행(상습),발생건수 대비 검거건수[%],100,100,100,100,100
존속폭행(상습),검거인원[명],5,12,12,9,15
존속폭행(상습),남자검거인원[명],5,12,11,7,15
존속폭행(상습),여자검거인원[명],-,-,1,2,-
존속폭행(상습),불상검거인원[명],-,-,-,-,-
존속폭행(상습),법인체[개],-,-,-,-,-
존속폭행치상,발생건수[건],13,19,20,29,25
존속폭행치상,검거건수[건],13,19,20,29,25
존속폭행치상,발생건수 대비 검거건수[%],100,100,100,100,100
존속폭행치상,검거인원[명],17,23,23,33,29
존속폭행치상,남자검거인원[명],13,18,15,25,24
존속폭행치상,여자검거인원[명],4,5,8,8,5
존속폭행치상,불상검거인원[명],-,-,-,-,-
존속폭행치상,법인체[개],-,-,-,-,-
존속폭행치사,발생건수[건],2,1,3,3,4
존속폭행치사,검거건수[건],2,1,3,3,4
존속폭행치사,발생건수 대비 검거건수[%],100,100,100,100,100
존속폭행치사,검거인원[명],2,1,3,3,4
존속폭행치사,남자검거인원[명],2,1,3,3,4
존속폭행치사,여자검거인원[명],-,-,-,-,-
존속폭행치사,불상검거인원[명],-,-,-,-,-
존속폭행치사,법인체[개],-,-,-,-,-
특가법(운전자폭행등),발생건수[건],2425,2587,2894,4259,4368
특가법(운전자폭행등),검거건수[건],2391,2551,2865,4179,4293
특가법(운전자폭행등),발생건수 대비 검거건수[%],98.6,98.6,99,98.1,98.3
특가법(운전자폭행등),검거인원[명],2545,2703,3041,4464,4528
특가법(운전자폭행등),남자검거인원[명],2369,2515,2813,4131,4221
특가법(운전자폭행등),여자검거인원[명],176,188,224,330,305
특가법(운전자폭행등),불상검거인원[명],-,-,4,3,2
특가법(운전자폭행등),법인체[개],-,-,-,-,-
특가법(보복폭행등),발생건수[건],61,68,46,85,89
특가법(보복폭행등),검거건수[건],59,67,45,83,89
특가법(보복폭행등),발생건수 대비 검거건수[%],96.7,98.5,97.8,97.6,100
특가법(보복폭행등),검거인원[명],63,68,43,79,89
특가법(보복폭행등),남자검거인원[명],56,55,40,68,73
특가법(보복폭행등),여자검거인원[명],7,11,3,11,16
특가법(보복폭행등),불상검거인원[명],-,2,-,-,-
특가법(보복폭행등),법인체[개],-,-,-,-,-
특가법(보복범죄등),발생건수[건],57,68,68,81,66
특가법(보복범죄등),검거건수[건],55,67,67,76,64
특가법(보복범죄등),발생건수 대비 검거건수[%],96.5,98.5,98.5,93.8,97
특가법(보복범죄등),검거인원[명],64,62,64,106,63
특가법(보복범죄등),남자검거인원[명],62,57,57,82,59
특가법(보복범죄등),여자검거인원[명],2,5,7,24,4
특가법(보복범죄등),불상검거인원[명],-,-,-,-,-
특가법(보복범죄등),법인체[개],-,-,-,-,-
아동학대처벌법위반(상습폭행),발생건수[건],13,15,18,4,6
아동학대처벌법위반(상습폭행),검거건수[건],13,15,18,4,6
아동학대처벌법위반(상습폭행),발생건수 대비 검거건수[%],100,100,100,100,100
아동학대처벌법위반(상습폭행),검거인원[명],13,17,18,4,11
아동학대처벌법위반(상습폭행),남자검거인원[명],5,8,11,1,3
아동학대처벌법위반(상습폭행),여자검거인원[명],8,9,7,3,8
아동학대처벌법위반(상습폭행),불상검거인원[명],-,-,-,-,-
아동학대처벌법위반(상습폭행),법인체[개],-,-,-,-,-
체포·감금,발생건수[건],1207,1243,1209,1165,1145
체포·감금,검거건수[건],1139,1192,1139,1083,1042
체포·감금,발생건수 대비 검거건수[%],94.4,95.9,94.2,93,91
체포·감금,검거인원[명],1682,1702,1762,1571,1489
체포·감금,남자검거인원[명],1343,1365,1441,1249,1213
체포·감금,여자검거인원[명],281,304,281,287,235
체포·감금,불상검거인원[명],58,33,40,35,41
체포·감금,법인체[개],-,-,-,2,1
체포·감금,발생건수[건],1001,1039,988,896,924
체포·감금,검거건수[건],941,995,928,819,834
체포·감금,발생건수 대비 검거건수[%],94,95.8,93.9,91.4,90.3
체포·감금,검거인원[명],1266,1288,1283,1065,1064
체포·감금,남자검거인원[명],1037,1049,1043,860,889
체포·감금,여자검거인원[명],192,209,218,179,141
체포·감금,불상검거인원[명],37,30,22,26,34
체포·감금,법인체[개],-,-,-,1,-
체포·감금(중),발생건수[건],32,31,34,28,21
체포·감금(중),검거건수[건],31,31,33,28,20
체포·감금(중),발생건수 대비 검거건수[%],96.9,100,97.1,100,95.2
체포·감금(중),검거인원[명],46,56,62,40,36
체포·감금(중),남자검거인원[명],41,49,55,36,31
체포·감금(중),여자검거인원[명],3,7,2,4,5
체포·감금(중),불상검거인원[명],2,-,5,-,-
체포·감금(중),법인체[개],-,-,-,-,-
체포·감금(특수·특수중),발생건수[건],62,67,70,81,88
체포·감금(특수·특수중),검거건수[건],61,65,66,79,84
체포·감금(특수·특수중),발생건수 대비 검거건수[%],98.4,97,94.3,97.5,95.5
체포·감금(특수·특수중),검거인원[명],165,154,186,184,215
체포·감금(특수·특수중),남자검거인원[명],122,100,158,141,163
체포·감금(특수·특수중),여자검거인원[명],35,53,20,36,50
체포·감금(특수·특수중),불상검거인원[명],8,1,8,7,2
체포·감금(특수·특수중),법인체[개],-,-,-,-,-
체포·감금(상습·상습중),발생건수[건],-,-,-,2,-
체포·감금(상습·상습중),검거건수[건],-,-,-,2,-
체포·감금(상습·상습중),발생건수 대비 검거건수[%],-,-,-,100,-
체포·감금(상습·상습중),검거인원[명],-,-,-,1,1
체포·감금(상습·상습중),남자검거인원[명],-,-,-,1,1
체포·감금(상습·상습중),여자검거인원[명],-,-,-,-,-
체포·감금(상습·상습중),불상검거인원[명],-,-,-,-,-
체포·감금(상습·상습중),법인체[개],-,-,-,-,-
체포·감금치사상(중·특수·상습),발생건수[건],91,88,91,133,79
체포·감금치사상(중·특수·상습),검거건수[건],86,83,89,129,74
체포·감금치사상(중·특수·상습),발생건수 대비 검거건수[%],94.5,94.3,97.8,97,93.7
체포·감금치사상(중·특수·상습),검거인원[명],171,176,183,242,130
체포·감금치사상(중·특수·상습),남자검거인원[명],124,150,158,189,107
체포·감금치사상(중·특수·상습),여자검거인원[명],37,24,20,51,20
체포·감금치사상(중·특수·상습),불상검거인원[명],10,2,5,2,3
체포·감금치사상(중·특수·상습),법인체[개],-,-,-,1,1
존속체포·감금,발생건수[건],17,13,20,21,24
존속체포·감금,검거건수[건],16,13,17,22,22
존속체포·감금,발생건수 대비 검거건수[%],94.1,100,85,104.8,91.7
존속체포·감금,검거인원[명],24,21,37,34,29
존속체포·감금,남자검거인원[명],12,12,18,20,14
존속체포·감금,여자검거인원[명],11,9,19,14,15
존속체포·감금,불상검거인원[명],1,-,-,-,-
존속체포·감금,법인체[개],-,-,-,-,-
존속체포·감금(중),발생건수[건],-,-,-,1,2
존속체포·감금(중),검거건수[건],-,-,-,1,1
존속체포·감금(중),발생건수 대비 검거건수[%],-,-,-,100,50
존속체포·감금(중),검거인원[명],-,-,-,1,4
존속체포·감금(중),남자검거인원[명],-,-,-,-,-
존속체포·감금(중),여자검거인원[명],-,-,-,1,2
존속체포·감금(중),불상검거인원[명],-,-,-,-,2
존속체포·감금(중),법인체[개],-,-,-,-,-
존속체포·감금(특수·특수중),발생건수[건],2,-,-,1,1
존속체포·감금(특수·특수중),검거건수[건],2,-,-,1,1
존속체포·감금(특수·특수중),발생건수 대비 검거건수[%],100,-,-,100,100
존속체포·감금(특수·특수중),검거인원[명],4,-,1,3,1
존속체포·감금(특수·특수중),남자검거인원[명],2,-,1,1,1
존속체포·감금(특수·특수중),여자검거인원[명],2,-,-,2,-
존속체포·감금(특수·특수중),불상검거인원[명],-,-,-,-,-
존속체포·감금(특수·특수중),법인체[개],-,-,-,-,-
존속체포·감금(상습·상습중),발생건수[건],-,-,-,-,-
존속체포·감금(상습·상습중),검거건수[건],-,-,-,-,-
존속체포·감금(상습·상습중),발생건수 대비 검거건수[%],-,-,-,-,-
존속체포·감금(상습·상습중),검거인원[명],-,-,-,-,-
존속체포·감금(상습·상습중),남자검거인원[명],-,-,-,-,-
존속체포·감금(상습·상습중),여자검거인원[명],-,-,-,-,-
존속체포·감금(상습·상습중),불상검거인원[명],-,-,-,-,-
존속체포·감금(상습·상습중),법인체[개],-,-,-,-,-
존속체포·감금치사상(중·특수·상습),발생건수[건],-,4,3,-,1
존속체포·감금치사상(중·특수·상습),검거건수[건],-,4,3,-,1
존속체포·감금치사상(중·특수·상습),발생건수 대비 검거건수[%],-,100,100,-,100
존속체포·감금치사상(중·특수·상습),검거인원[명],-,5,5,-,3
존속체포·감금치사상(중·특수·상습),남자검거인원[명],-,3,3,-,1
존속체포·감금치사상(중·특수·상습),여자검거인원[명],-,2,2,-,2
존속체포·감금치사상(중·특수·상습),불상검거인원[명],-,-,-,-,-
존속체포·감금치사상(중·특수·상습),법인체[개],-,-,-,-,-
특가법(보복체포·감금등),발생건수[건],2,1,3,2,5
특가법(보복체포·감금등),검거건수[건],2,1,3,2,5
특가법(보복체포·감금등),발생건수 대비 검거건수[%],100,100,100,100,100
특가법(보복체포·감금등),검거인원[명],6,2,5,1,6
특가법(보복체포·감금등),남자검거인원[명],5,2,5,1,6
특가법(보복체포·감금등),여자검거인원[명],1,-,-,-,-
특가법(보복체포·감금등),불상검거인원[명],-,-,-,-,-
특가법(보복체포·감금등),법인체[개],-,-,-,-,-
아동학대처벌법위반(상습체포·감금),발생건수[건],-,-,-,-,-
아동학대처벌법위반(상습체포·감금),검거건수[건],-,-,-,-,-
아동학대처벌법위반(상습체포·감금),발생건수 대비 검거건수[%],-,-,-,-,-
아동학대처벌법위반(상습체포·감금),검거인원[명],-,-,-,-,-
아동학대처벌법위반(상습체포·감금),남자검거인원[명],-,-,-,-,-
아동학대처벌법위반(상습체포·감금),여자검거인원[명],-,-,-,-,-
아동학대처벌법위반(상습체포·감금),불상검거인원[명],-,-,-,-,-
아동학대처벌법위반(상습체포·감금),법인체[개],-,-,-,-,-
협박,발생건수[건],17200,21022,21214,21058,21567
협박,검거건수[건],16155,19807,19876,19727,20341
협박,발생건수 대비 검거건수[%],93.9,94.2,93.7,93.7,94.3
협박,검거인원[명],18853,22929,23196,22482,22899
협박,남자검거인원[명],16230,19673,19808,19188,19473
협박,여자검거인원[명],2239,2855,2899,2992,3188
협박,불상검거인원[명],384,401,489,302,238
협박,법인체[개],1,-,5,1,1
협박,발생건수[건],8098,9810,9810,9306,9034
협박,검거건수[건],7175,8761,8685,8210,8031
협박,발생건수 대비 검거건수[%],88.6,89.3,88.5,88.2,88.9
협박,검거인원[명],8734,10537,10655,9656,9272
협박,남자검거인원[명],7141,8640,8672,7938,7697
협박,여자검거인원[명],1236,1530,1539,1434,1382
협박,불상검거인원[명],357,367,444,284,193
협박,법인체[개],1,-,5,1,1
협박(특수),발생건수[건],8754,10788,10951,11093,11893
협박(특수),검거건수[건],8637,10630,10761,10881,11689
협박(특수),발생건수 대비 검거건수[%],98.7,98.5,98.3,98.1,98.3
협박(특수),검거인원[명],9761,11950,12085,12162,12970
협박(특수),남자검거인원[명],8767,10629,10736,10661,11224
협박(특수),여자검거인원[명],967,1287,1306,1484,1722
협박(특수),불상검거인원[명],27,34,43,17,24
협박(특수),법인체[개],-,-,-,-,-
협박(상습),발생건수[건],18,20,24,14,16
협박(상습),검거건수[건],18,19,22,13,16
협박(상습),발생건수 대비 검거건수[%],100,95,91.7,92.9,100
협박(상습),검거인원[명],20,19,23,17,14
협박(상습),남자검거인원[명],20,15,17,12,12
협박(상습),여자검거인원[명],-,4,6,5,2
협박(상습),불상검거인원[명],-,-,-,-,-
협박(상습),법인체[개],-,-,-,-,-
협박(상습특수),발생건수[건],2,3,4,2,4
협박(상습특수),검거건수[건],2,3,2,2,4
협박(상습특수),발생건수 대비 검거건수[%],100,100,50,100,100
협박(상습특수),검거인원[명],3,3,3,2,2
협박(상습특수),남자검거인원[명],3,3,3,2,1
협박(상습특수),여자검거인원[명],-,-,-,-,1
협박(상습특수),불상검거인원[명],-,-,-,-,-
협박(상습특수),법인체[개],-,-,-,-,-
존속협박,발생건수[건],146,196,191,235,219
존속협박,검거건수[건],144,192,184,222,215
존속협박,발생건수 대비 검거건수[%],98.6,98,96.3,94.5,98.2
존속협박,검거인원[명],152,199,187,226,225
존속협박,남자검거인원[명],133,179,169,196,193
존속협박,여자검거인원[명],19,20,18,30,30
존속협박,불상검거인원[명],-,-,-,-,2
존속협박,법인체[개],-,-,-,-,-
존속협박(특수),발생건수[건],64,81,92,186,187
존속협박(특수),검거건수[건],64,81,90,182,183
존속협박(특수),발생건수 대비 검거건수[%],100,100,97.8,97.8,97.9
존속협박(특수),검거인원[명],73,92,99,197,188
존속협박(특수),남자검거인원[명],63,80,82,169,158
존속협박(특수),여자검거인원[명],10,12,17,28,30
존속협박(특수),불상검거인원[명],-,-,-,-,-
존속협박(특수),법인체[개],-,-,-,-,-
존속협박(상습),발생건수[건],1,1,1,1,2
존속협박(상습),검거건수[건],1,1,1,1,2
존속협박(상습),발생건수 대비 검거건수[%],100,100,100,100,100
존속협박(상습),검거인원[명],1,1,1,1,2
존속협박(상습),남자검거인원[명],1,1,1,1,2
존속협박(상습),여자검거인원[명],-,-,-,-,-
존속협박(상습),불상검거인원[명],-,-,-,-,-
존속협박(상습),법인체[개],-,-,-,-,-
존속협박(상습특수),발생건수[건],1,1,-,-,-
존속협박(상습특수),검거건수[건],1,1,-,-,-
존속협박(상습특수),발생건수 대비 검거건수[%],100,100,-,-,-
존속협박(상습특수),검거인원[명],1,1,-,-,-
존속협박(상습특수),남자검거인원[명],1,1,-,-,-
존속협박(상습특수),여자검거인원[명],-,-,-,-,-
존속협박(상습특수),불상검거인원[명],-,-,-,-,-
존속협박(상습특수),법인체[개],-,-,-,-,-
특가법(운전자협박),발생건수[건],-,-,-,-,-
특가법(운전자협박),검거건수[건],-,-,-,-,-
특가법(운전자협박),발생건수 대비 검거건수[%],-,-,-,-,-
특가법(운전자협박),검거인원[명],-,-,-,-,-
특가법(운전자협박),남자검거인원[명],-,-,-,-,-
특가법(운전자협박),여자검거인원[명],-,-,-,-,-
특가법(운전자협박),불상검거인원[명],-,-,-,-,-
특가법(운전자협박),법인체[개],-,-,-,-,-
특가법(보복협박등),발생건수[건],116,122,141,221,212
특가법(보복협박등),검거건수[건],113,119,131,216,201
특가법(보복협박등),발생건수 대비 검거건수[%],97.4,97.5,92.9,97.7,94.8
특가법(보복협박등),검거인원[명],108,127,143,221,225
특가법(보복협박등),남자검거인원[명],101,125,128,209,185
특가법(보복협박등),여자검거인원[명],7,2,13,11,21
